"","enrolID","startaar","startsn","Uddannelse","startramme","Ramme_kode","startstudordna","Studieordningskode","startfak","slutramme","slutsn","slutfak","NU","Norm tid","Norm+1 aar","statussn","udmeldsn","fradatosn","slutdatosn","stype","startMonth","yearOfEnrolment","EndSemester","SPV","1_T_atnBy","1_T_atpIn","1_NT_atnBy","1_NT_atpIn","1_El_atnBy","1_El_atpIn","1_Pr_atnBy","1_Pr_atpIn","2_T_atnBy","2_T_atpIn","2_NT_atnBy","2_NT_atpIn","2_El_atnBy","2_El_atpIn","2_Pr_atnBy","2_Pr_atpIn","3_T_atnBy","3_T_atpIn","3_NT_atnBy","3_NT_atpIn","3_El_atnBy","3_El_atpIn","3_Pr_atnBy","3_Pr_atpIn","4_T_atnBy","4_T_atpIn","4_NT_atnBy","4_NT_atpIn","4_El_atnBy","4_El_atpIn","4_Pr_atnBy","4_Pr_atpIn","5_T_atnBy","5_T_atpIn","5_NT_atnBy","5_NT_atpIn","5_El_atnBy","5_El_atpIn","5_Pr_atnBy","5_Pr_atpIn","6_T_atnBy","6_T_atpIn","6_NT_atnBy","6_NT_atpIn","6_El_atnBy","6_El_atpIn","6_Pr_atnBy","6_Pr_atpIn","7_T_atnBy","7_T_atpIn","7_NT_atnBy","7_NT_atpIn","7_El_atnBy","7_El_atpIn","7_Pr_atnBy","7_Pr_atpIn","8_T_atnBy","8_T_atpIn","8_NT_atnBy","8_NT_atpIn","8_El_atnBy","8_El_atpIn","8_Pr_atnBy","8_Pr_atpIn","9_T_atnBy","9_T_atpIn","9_NT_atnBy","9_NT_atpIn","9_El_atnBy","9_El_atpIn","9_Pr_atnBy","9_Pr_atpIn","10_T_atnBy","10_T_atpIn","10_NT_atnBy","10_NT_atpIn","10_El_atnBy","10_El_atpIn","10_Pr_atnBy","10_Pr_atpIn","1_El_nom","1_NT_nom","1_Pr_nom","1_T_nom","2_El_nom","2_NT_nom","2_Pr_nom","2_T_nom","3_El_nom","3_NT_nom","3_Pr_nom","3_T_nom","4_El_nom","4_NT_nom","4_Pr_nom","4_T_nom","5_El_nom","5_NT_nom","5_Pr_nom","5_T_nom","6_El_nom","6_NT_nom","6_Pr_nom","6_T_nom","1_El_mGPA","1_NT_mGPA","1_Pr_mGPA","1_T_mGPA","2_El_mGPA","2_NT_mGPA","2_Pr_mGPA","2_T_mGPA","3_El_mGPA","3_NT_mGPA","3_Pr_mGPA","3_T_mGPA","4_El_mGPA","4_NT_mGPA","4_Pr_mGPA","4_T_mGPA","5_El_mGPA","5_NT_mGPA","5_Pr_mGPA","5_T_mGPA","6_El_mGPA","6_NT_mGPA","6_Pr_mGPA","6_T_mGPA","7_El_mGPA","7_NT_mGPA","7_Pr_mGPA","7_T_mGPA","8_El_mGPA","8_NT_mGPA","8_Pr_mGPA","8_T_mGPA","9_El_mGPA","9_NT_mGPA","9_Pr_mGPA","9_T_mGPA","10_El_mGPA","10_NT_mGPA","10_Pr_mGPA","10_T_mGPA"
"11",126,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA70091","TEK-NAT","Kandidatuddannelse - NAT Medialogi","Medieteknologi","TEK-NAT","2.Frafald > 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2010-09-01,2011-09-07,"kandidat",9,2010,4,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",127,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7002I","TEK-NAT","","","","7.KANDIDAT","Norm Aktiv","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2013-06-17,"kandidat",9,2010,7,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,12,NA
"13",128,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7002I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-20,"kandidat",9,2010,5,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",129,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7004I","TEK-NAT","","","","7.KANDIDAT","Norm Aktiv","Norm+ Aktiv","afslutte","Afsluttet",2010-09-01,2014-01-20,"kandidat",9,2010,9,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,12,NA,NA,NA,12,NA
"15",130,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7004I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-20,"kandidat",9,2010,5,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",131,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7005I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-25,"kandidat",9,2010,5,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",132,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7007I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-20,"kandidat",9,2010,5,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",133,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7007I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-25,"kandidat",9,2010,5,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",134,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK7009I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-25,"kandidat",9,2010,5,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",135,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK70081","TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2010-09-01,2010-11-05,"kandidat",9,2010,2,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",136,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJK70081","TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2010-09-01,2010-11-05,"kandidat",9,2010,2,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
